testReport

Date/Time Generated,8/31/15 2:25 PM
Report Time Zone,America/New_York
SubAccount Name,Rinck Advertising
Account ID,9515
Date Range,8/1/15 - 8/30/15

Report Fields
Date,Campaign,Ad,Site (DCM),Placement,Ad Type,Creative,Click-through URL,Clicks,Impressions,Click Rate,Active View: Viewable Impressions,Active View: Measurable Impressions,Active View: Eligible Impressions,Media Cost
2015-08-05,FY2016_Undergraduate,728x90,Collective.com,Cross Platform,Standard,728x90-2.zip,http://usm.maine.edu/,0,8,0.00,4,8,8,0.000000000
2015-08-05,FY2016_Undergraduate,728x90 Default Web Ad,Collective.com,Cross Platform,Default,SAL_V1,https://usm.maine.edu/explore,1,18,5.56,6,12,12,0.000000000
2015-08-18,FY2016_Degree_Completion,728x90 Default Web Ad,Collective.com,Collective.com,Default,SAL_V1,https://usm.maine.edu/explore,2,5,40.00,0,0,0,0.000000000
2015-08-18,FY2016_Degree_Completion,AlongtheLine-Collective.com,Collective.com,Collective.com,Standard,AlongtheLine_V1,http://usm.maine.edu/?utm_source=Collective&utm_medium=CrossPlatform&utm_content=DegreeCompletion&utm_campaign=FY2016_Umbrella,6,8,75.00,5,8,8,0.000000000
2015-08-18,FY2016_Undergraduate,728x90,Collective.com,Cross Platform,Standard,AlongtheLine_V1,https://usm.maine.edu/explore,2,2,100.00,2,2,2,0.000000000
2015-08-18,FY2016_Undergraduate,728x90 Default Web Ad,Collective.com,Cross Platform,Default,SAL_V1,https://usm.maine.edu/explore,1,2,50.00,0,0,0,0.000000000
2015-08-22,FY2016_Degree_Completion,728x90 Default Web Ad,Collective.com,Collective.com,Default,SAL_V1,https://usm.maine.edu/explore,1,4,25.00,0,0,0,0.000000000
2015-08-22,FY2016_Degree_Completion,AlongtheLine-Collective.com,Collective.com,Collective.com,Standard,AlongtheLine_V1,http://usm.maine.edu/?utm_source=Collective&utm_medium=CrossPlatform&utm_content=DegreeCompletion&utm_campaign=FY2016_Umbrella,0,1,0.00,0,1,1,0.000000000
2015-08-22,FY2016_Degree_Completion,SAL_V1-Collective.com,Collective.com,Collective.com,Standard,SAL_V1,https://usm.maine.edu/explore?utm_source=Collective&utm_medium=CrossPlatform&utm_content=[Degree_Completion]_SAL_v[1]&utm_campaign=FY2016_Umbrella,6,7,85.71,4,7,7,0.000000000
2015-08-24,FY2016_Undergraduate,160x600 Default Web Ad,Collective.com,Cross Platform,Default,SAL_V1,https://usm.maine.edu/explore,0,3,0.00,0,0,0,0.000000000
2015-08-24,FY2016_Undergraduate,300x250 Default Web Ad,Collective.com,Cross Platform,Default,SAL_V1,https://usm.maine.edu/explore,0,9,0.00,1,6,6,0.000000000
2015-08-24,FY2016_Undergraduate,300x250 Default Web Ad,MobileFuse.com,Tablet,Default,SAL_V1,https://usm.maine.edu/explore,0,9,0.00,1,6,6,0.000000000
2015-08-24,FY2016_Undergraduate,320x50 Default Web Ad,MobileFuse.com,Mobile,Default,SAL_V1,https://usm.maine.edu/explore,1,9,11.11,2,6,6,0.000000000
2015-08-24,FY2016_Undergraduate,728x90 Default Web Ad,Collective.com,Cross Platform,Default,SAL_V1,https://usm.maine.edu/explore,0,9,0.00,2,6,6,0.000000000
2015-08-24,FY2016_Undergraduate,SAL_V1-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V1,https://usm.maine.edu/explore,0,6,0.00,1,6,6,0.000000000
2015-08-25,FY2016_Graduate,160x600 Default Web Ad,Collective.com,Cross Platform,Default,SAL_V1,https://usm.maine.edu/explore,0,4,0.00,0,0,0,0.000000000
2015-08-25,FY2016_Graduate,300x250 Default Web Ad,Collective.com,Cross Platform,Default,SAL_V1,https://usm.maine.edu/explore,0,4,0.00,0,0,0,0.000000000
2015-08-25,FY2016_Graduate,300x250 Default Web Ad,MobileFuse.com,Tablet,Default,SAL_V1,https://usm.maine.edu/explore,0,3,0.00,0,0,0,0.000000000
2015-08-25,FY2016_Graduate,728x90 Default Web Ad,Collective.com,Cross Platform,Default,SAL_V1,https://usm.maine.edu/explore,0,4,0.00,0,0,0,0.000000000
2015-08-25,FY2016_Graduate,SAL_V1-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V1,https://usm.maine.edu/explore,0,4,0.00,2,4,4,0.000000000
2015-08-25,FY2016_Graduate,SAL_V1-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V1,https://usm.maine.edu/explore,1,4,25.00,3,4,4,0.000000000
2015-08-25,FY2016_Graduate,SAL_V1-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V1,https://usm.maine.edu/explore,0,5,0.00,3,5,5,0.000000000
2015-08-25,FY2016_Graduate,SAL_V1-Mobile,MobileFuse.com,Mobile,Standard,SAL_V1,https://usm.maine.edu/explore,0,5,0.00,0,3,3,0.000000000
2015-08-25,FY2016_Graduate,SAL_V1-Tablet,MobileFuse.com,Tablet,Standard,SAL_V1,https://usm.maine.edu/explore,0,6,0.00,1,6,6,0.000000000
2015-08-25,FY2016_Graduate,SAL_V1_grad-Mobile,MobileFuse.com,Mobile,Standard,SAL_V1_grad,https://usm.maine.edu/explore,0,4,0.00,2,3,3,0.000000000
2015-08-25,FY2016_Undergraduate,300x250 Default Web Ad,Collective.com,Cross Platform,Default,SAL_V1,https://usm.maine.edu/explore,0,44,0.00,2,6,6,0.000000000
2015-08-25,FY2016_Undergraduate,300x250 Default Web Ad,MobileFuse.com,Tablet,Default,SAL_V1,https://usm.maine.edu/explore,0,36,0.00,2,6,6,0.000000000
2015-08-25,FY2016_Undergraduate,Display,Pandora,Pandora,Tracking,SAL_V1,https://usm.maine.edu/explore,2,0,0.00,0,0,0,0.000000000
2015-08-25,FY2016_Undergraduate,SAL_1_courses-Mobile,MobileFuse.com,Mobile,Standard,SAL_1_courses,https://usm.maine.edu/explore,0,48,0.00,7,31,31,0.000000000
2015-08-25,FY2016_Undergraduate,SAL_V1-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V1,https://usm.maine.edu/explore,0,2,0.00,1,2,2,0.000000000
2015-08-25,FY2016_Undergraduate,SAL_V1-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V1,https://usm.maine.edu/explore,1,41,2.44,4,41,41,0.000000000
2015-08-25,FY2016_Undergraduate,SAL_V1-Cross Platform,MobileFuse.com,Tablet,Standard,SAL_V1,https://usm.maine.edu/explore,2,48,4.17,14,48,48,0.000000000
2015-08-25,FY2016_Undergraduate,SAL_V1-Mobile,MobileFuse.com,Mobile,Standard,SAL_V1,https://usm.maine.edu/explore,0,31,0.00,8,19,19,0.000000000
